initial state: ##..#..##....#..#..#..##.#.###.######..#..###.#.#..##.###.#.##..###..#.#..#.##.##..###.#.#...#.##..

##### => #
##.## => #
..##. => .
..#.# => .
..### => #
#..## => #
.#.#. => #
#.#.# => #
#.##. => .
####. => .
#..#. => #
..#.. => .
.#### => .
##.#. => #
#...# => .
.##.# => #
#.### => .
.#..# => #
.#... => #
.##.. => #
.###. => .
#.... => .
###.. => .
##..# => .
...## => #
##... => .
..... => .
....# => .
###.# => #
#.#.. => .
.#.## => #
...#. => .
